Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,50005.000000,50005.000000,48345.000000,48512.000000,48512.000000,2882100
2015-01-05,48512.000000,48512.000000,47264.000000,47517.000000,47517.000000,3866100
2015-01-06,47517.000000,48061.000000,47338.000000,48001.000000,48001.000000,4559300
2015-01-07,48006.000000,49882.000000,48006.000000,49463.000000,49463.000000,4408800
2015-01-08,49463.000000,50261.000000,49017.000000,49943.000000,49943.000000,3621900
2015-01-09,49955.000000,49955.000000,48501.000000,48840.000000,48840.000000,2999200
2015-01-12,48840.000000,48840.000000,47956.000000,48140.000000,48140.000000,3246100
2015-01-13,48144.000000,48939.000000,48042.000000,48042.000000,48042.000000,3881600
2015-01-14,48038.000000,48281.000000,47372.000000,47646.000000,47646.000000,3697200
2015-01-15,47648.000000,48853.000000,47648.000000,48026.000000,48026.000000,4463600
2015-01-16,48028.000000,49264.000000,48028.000000,49017.000000,49017.000000,3344900
2015-01-19,49009.000000,49009.000000,47503.000000,47758.000000,47758.000000,2096000
2015-01-20,47759.000000,48687.000000,47619.000000,47877.000000,47877.000000,2899100
2015-01-21,47888.000000,49329.000000,47888.000000,49224.000000,49224.000000,3561400
2015-01-22,49227.000000,50281.000000,49227.000000,49443.000000,49443.000000,4952300
2015-01-23,49432.000000,49523.000000,48496.000000,48775.000000,48775.000000,3081600
2015-01-26,48712.000000,48712.000000,48004.000000,48577.000000,48577.000000,2774200
2015-01-27,48577.000000,48864.000000,47352.000000,48591.000000,48591.000000,3890900
2015-01-28,48589.000000,48589.000000,47550.000000,47695.000000,47695.000000,4241400
2015-01-29,47696.000000,47894.000000,47007.000000,47762.000000,47762.000000,4405500
2015-01-30,47759.000000,47759.000000,46484.000000,46908.000000,46908.000000,4846600
2015-02-02,46933.000000,47684.000000,46760.000000,47651.000000,47651.000000,3247800
2015-02-03,47664.000000,48993.000000,47664.000000,48964.000000,48964.000000,4819800
2015-02-04,48965.000000,49718.000000,48214.000000,49301.000000,49301.000000,4811300
2015-02-05,49299.000000,49816.000000,49020.000000,49234.000000,49234.000000,4004000
2015-02-06,49231.000000,49231.000000,48209.000000,48792.000000,48792.000000,4591400
